Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"PropertyListConfiguration$DateTimeZoneParser",2,0.00,1.50,17,0.22,6796.76,2,0,21,2,0,148.06,4,32,8.00
"Reloadable",1,0.00,1.00,2,0.01,40.30,1,0,0,1,2,146.90,0,4,0.00
"ReloadingStrategy",4,0.00,1.00,5,0.10,760.82,4,0,1,4,7,149.44,16,7,0.00
"ServletConfiguration",4,0.67,1.00,11,0.10,1399.85,5,1,5,4,2,105.32,23,22,6.00
"ServletContextConfiguration",4,0.33,1.00,11,0.11,1498.67,5,1,5,4,2,101.89,24,22,6.00
"ServletFilterConfiguration",3,0.50,1.00,9,0.09,1270.30,4,1,4,3,2,104.38,17,18,6.00
"ServletRequestConfiguration",3,0.50,2.33,23,0.28,15490.27,4,1,6,3,2,80.32,17,43,11.00
"StrictConfigurationComparator",2,0.00,4.00,24,0.25,18859.05,2,0,1,2,9,51.91,21,36,92.00
"SubnodeConfiguration",10,0.30,1.90,66,0.67,22848.11,13,3,6,10,21,138.27,188,116,10.00
"SubsetConfiguration",23,0.00,1.39,77,0.87,24717.43,26,3,2,23,7,123.27,97,184,17.00
"SubsetConfiguration$SubsetIterator",4,0.00,1.00,10,0.07,751.69,5,1,2,4,0,92.30,30,20,2.00
"SystemConfiguration",4,1.00,1.75,21,0.26,7038.10,5,1,3,5,5,71.14,31,38,9.00
"TestAbstractConfiguration",12,0.00,1.17,68,0.82,18419.07,12,0,14,12,9,149.88,29,110,10.00
"TestAbstractConfigurationBasicFeatures",23,0.30,1.57,189,2.45,71441.43,25,2,14,23,8,100.98,102,283,19.00
"TestAbstractConfigurationBasicFeatures$CollectingConfigurationListener",1,0.00,1.00,4,0.04,433.22,2,1,14,2,2,127.78,4,9,2.00
"TestAbstractConfigurationBasicFeatures$TestConfigurationImpl",1,0.00,1.00,6,0.10,2704.14,1,0,14,2,1,164.72,1,13,52.00
"TestAbstractConfigurationBasicFeatures$TestConfigurationImpl_0",8,0.00,1.00,18,0.13,1490.30,9,1,14,8,1,189.76,8,38,5.00
"TestAppletConfiguration",5,0.00,2.40,31,0.39,12938.69,6,1,9,5,5,126.36,17,78,7.00
"TestAppletConfiguration$Applet",2,1.00,1.00,6,0.07,1141.91,3,1,9,2,0,178.23,3,19,4.00
"TestBaseConfiguration",55,0.00,1.05,338,4.95,128673.25,59,4,20,55,6,164.79,57,525,15.00
"TestBaseConfiguration$ConfigurationListener",1,0.00,1.00,2,0.01,29.48,1,0,20,1,1,197.97,1,6,1.00
"TestBaseConfigurationXMLReader",8,0.05,1.12,58,0.79,16734.98,11,3,18,8,2,159.47,12,85,12.00
"TestBaseConfigurationXMLReader$TestContentHandler",1,0.00,1.00,3,0.03,512.65,1,0,18,1,0,181.63,1,9,5.00
"TestBaseNullConfiguration",38,0.00,1.00,193,2.52,52383.81,39,1,13,38,2,159.42,13,331,13.00
"TestBeanHelper",24,0.20,1.08,136,1.68,35145.72,26,2,11,24,4,117.96,96,219,18.00
"TestBeanHelper$TestBean",6,0.20,1.00,16,0.08,785.15,9,3,11,6,0,182.97,3,30,0.00
"TestBeanHelper$TestBeanDeclaration",10,0.11,1.00,26,0.18,2152.88,15,5,11,10,1,181.68,5,48,0.00
"TestBeanHelper$TestBeanFactory",2,0.00,1.50,12,0.13,4240.31,4,2,11,2,3,106.21,9,25,10.00
"TestCatalogResolver",7,0.17,1.00,32,0.28,3777.57,13,6,8,7,2,166.82,13,55,7.00
"TestCombinedConfiguration",49,0.09,1.16,380,4.99,132754.75,60,11,33,50,18,110.35,197,580,17.00
"TestCombinedConfiguration$CombinedListener",2,1.00,1.50,10,0.08,959.73,4,2,33,2,3,105.60,10,23,5.00
