Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"SequencedHashMap$AbstractSet",6,0.00,1.00,14,0.11,1235.75,6,0,16,6,1,178.16,2,19,4.00,10.00,1,0.00,0,0,1,1,1,2,0.00,0.00,java.lang.Object,138.82,0,0,0,320.24,2,89,0.00,6,5,0,1,3
"SequencedHashMap$AbstractSet_0",7,0.00,1.57,22,0.23,7742.80,7,0,16,7,1,170.90,3,30,5.00,17.00,4,0.00,0,0,1,1,1,3,0.00,0.00,java.lang.Object,128.12,0,0,0,703.02,1,169,0.00,11,6,0,1,4
"SequencedHashMap$Entry",7,0.21,1.43,26,0.32,12424.60,11,4,16,7,0,147.38,20,40,46.00,17.00,4,0.00,0,0,1,0,1,8,0.07,0.00,java.lang.Object,123.83,0,1,0,953.06,0,232,0.00,10,6,0,2,2
"SequencedHashMap$OrderedIterator",4,0.33,2.25,32,0.27,8336.72,7,3,16,4,1,115.05,66,42,6.00,0.00,4,0.00,0,0,2,1,1,17,0.58,0.00,java.lang.Object,110.66,0,1,0,808.32,1,173,0.00,9,2,0,1,0
"SetUtils",3,0.00,1.00,6,0.05,673.53,3,0,3,3,1,101.07,35,10,6.00,3.00,1,0.00,0,0,1,1,1,4,0.00,0.00,java.lang.Object,141.03,0,0,0,135.81,0,40,0.00,3,2,0,1,0
"SetUtils$PredicatedSet",1,0.00,1.00,3,0.02,163.16,1,0,3,1,1,135.55,0,7,0.00,1.00,1,0.50,0,1,1,1,2,0,0.00,0.00,CollectionUtils.PredicatedCollection,135.55,0,1,0,67.19,0,21,0.00,1,0,0,1,0
"SetUtils$PredicatedSortedSet",8,0.00,1.00,20,0.17,2582.64,8,0,3,8,1,136.17,0,31,7.00,8.00,1,0.50,0,1,1,1,2,0,0.00,0.00,org.apache.commons.collections.PredicatedSet,136.17,0,1,0,505.17,0,140,0.00,8,7,0,1,1
"SingletonIterator",4,0.17,1.25,17,0.09,1440.10,6,2,2,4,1,77.27,35,23,3.00,4.00,2,0.00,1,0,2,0,1,5,0.38,1.00,java.lang.Object,127.14,0,1,0,283.21,0,77,0.00,5,2,1,1,0
"SingletonIterator",1,0.00,1.00,3,0.02,152.66,1,0,0,1,1,106.40,13,6,0.00,1.00,1,0.50,0,1,1,1,2,2,0.00,0.00,org.apache.commons.collections.iterators.SingletonIterator,135.78,0,0,0,74.38,0,24,0.00,1,0,0,1,0
"SingletonListIterator",10,0.04,1.30,34,0.21,2730.08,13,3,2,10,1,86.58,74,48,5.00,0.00,2,0.00,0,0,4,0,1,11,0.37,0.00,java.lang.Object,131.69,0,1,0,641.30,0,171,0.00,13,6,1,1,0
