Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractReferenceMap$ReferenceMapIterator",5,0.00,1.60,20,0.17,3414.94,5,0,17,5,3,172.72,3,29,7.00,5.00,2,0.50,0,1,1,3,2,1,0.00,0.00,org.apache.commons.collections.map.ReferenceEntrySetIterator,125.85,0,1,0,502.67,2,124,0.00,8,4,0,1,0
"AbstractReferenceMap$ReferenceValues",3,0.00,1.33,13,0.10,2073.65,3,0,17,3,1,169.51,5,15,7.00,3.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.Values,124.58,0,0,0,313.76,1,78,0.00,4,2,0,1,1
"AbstractReferenceMap$ReferenceValuesIterator",2,0.00,1.00,5,0.02,174.96,2,0,17,2,1,187.60,3,8,2.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.ReferenceEntrySetIterator,140.63,0,0,0,73.13,1,25,0.00,2,1,0,1,0
"AbstractReferenceMap$SoftRef",2,1.00,1.00,7,0.04,445.00,3,1,17,2,0,132.23,8,10,0.00,2.00,1,0.50,0,1,1,0,2,5,0.50,0.00,java.lang.ref.SoftReference,131.99,0,0,0,125.70,0,36,0.00,2,1,0,1,0
"AbstractReferenceMap$WeakRef",2,1.00,1.00,7,0.04,445.00,3,1,17,2,0,171.88,4,10,0.00,2.00,1,0.50,0,1,1,0,2,1,0.50,0.00,java.lang.ref.WeakReference,131.99,0,0,0,125.70,0,36,0.00,2,1,0,1,0
"AbstractSerializableCollectionDecorator",3,1.00,1.00,10,0.08,935.31,4,1,5,3,5,83.52,24,16,7.00,1.00,1,0.06,16,1,3,1,2,5,0.00,8.00,org.apache.commons.collections.collection.AbstractCollectionDecorator,131.63,0,1,0,238.06,0,65,0.00,3,0,4,2,0
"AbstractSerializableListDecorator",3,1.00,1.00,10,0.08,935.31,4,1,6,3,6,83.52,24,16,7.00,1.00,1,0.22,6,2,3,1,3,5,0.00,2.00,org.apache.commons.collections.list.AbstractListDecorator,131.63,0,1,0,238.06,0,65,0.00,3,0,5,2,0
"AbstractSerializableSetDecorator",3,1.00,1.00,10,0.08,935.31,4,1,6,3,3,83.52,24,16,7.00,1.00,1,0.40,2,2,3,1,3,5,0.00,0.67,org.apache.commons.collections.set.AbstractSetDecorator,131.63,0,1,0,238.06,0,65,0.00,3,0,2,2,0
"AbstractSetDecorator",3,0.00,1.00,7,0.03,244.45,3,0,2,3,2,92.84,25,11,4.00,3.00,1,0.11,7,1,2,1,2,4,0.00,3.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,141.99,0,1,0,96.60,1,34,0.00,3,1,1,2,0
"AbstractSortedBagDecorator",6,0.00,1.00,13,0.07,700.92,6,0,2,6,3,135.81,26,21,4.00,6.00,1,0.50,1,2,2,2,3,5,0.00,0.33,org.apache.commons.collections.bag.AbstractBagDecorator,141.96,0,1,0,210.72,1,70,0.00,6,4,1,2,1
"AbstractSortedBidiMapDecorator",7,0.00,1.00,15,0.11,1261.11,7,0,3,7,3,138.12,29,24,6.00,12.00,1,0.60,1,3,1,2,4,4,0.00,0.25,org.apache.commons.collections.bidimap.AbstractOrderedBidiMapDecorator,140.66,0,1,0,319.90,0,98,0.00,7,6,1,2,1
"AbstractSortedMapDecorator",9,0.00,1.00,19,0.13,1449.46,9,0,2,9,3,148.18,33,30,5.00,16.00,1,0.20,3,1,2,1,2,5,0.00,1.50,org.apache.commons.collections.map.AbstractMapDecorator,141.29,0,1,0,376.03,0,117,0.00,9,7,2,2,1
"AbstractSortedSetDecorator",9,0.00,1.00,19,0.13,1459.46,9,0,3,9,2,164.16,26,29,5.00,9.00,1,0.50,1,2,2,1,3,5,0.00,0.33,org.apache.commons.collections.set.AbstractSetDecorator,141.26,0,1,0,379.03,1,118,0.00,9,7,1,2,1
"AbstractTestBag",25,0.00,1.48,352,4.12,172614.23,25,0,9,25,9,136.10,52,385,23.00,25.00,4,0.20,11,3,23,3,4,28,0.00,2.75,org.apache.commons.collections.AbstractTestObject,97.58,0,0,0,12361.68,10,2563,0.07,37,2,6,2,1
"AbstractTestBidiMap",29,0.21,1.52,222,2.87,133640.42,32,3,10,30,12,149.85,56,293,26.00,128.00,5,0.08,11,1,21,5,2,34,0.13,5.50,org.apache.commons.collections.AbstractTestMap,108.83,1,0,1,8599.73,12,1792,0.00,44,8,7,2,10
